id,text,group_label,department_label,created_at,text_clean
80,Сервер srv-web-4 не отвечает на запросы уже,Infrastructure,Servers,2026-04-20T20:50:48.061965,сервер srvweb отвечать запрос
81,Ошибка в уже логах Event Log: NullReferenceException,Infrastructure,Servers,2026-04-20T20:50:48.062007,ошибка лог event log nullreferenceexception
82,Ложное срабатывание на внутренний разработанный модуль,Security,Antivirus,2026-04-20T20:50:48.062030,ложный срабатывание внутренний разработать модуль
83,Ошибка сертификата при подключении к VPN-шлюзу,Workplace,RemoteAccess,2026-04-20T20:50:48.062051,ошибка сертификат подключение vpnшлюз
84,"Сканер не определяется системой, драйвер не установлен",Workplace,Periphery,2026-04-20T20:50:48.062073,сканер определяться система драйвер установить
85,Требуется добавить исключение для папки C:\Projects в антивирусе,Security,Antivirus,2026-04-20T20:50:48.062099,требоваться добавить исключение папка cprojects антивирус
86,Не применяется политика паролей после изменения,Workplace,PCAdmin,2026-04-20T20:50:48.062130,применяться политика пароль изменение
87,Не помогите приходит уведомление о подписании документа,BusinessApps,DocumentFlow,2026-04-20T20:50:48.062175,помочь приходить уведомление подписание документ
88,"Картридж в принтере срочно закончился, требуется замена",Workplace,Periphery,2026-04-20T20:50:48.062218,картридж принтер срочно закончиться требоваться замена
89,Требуется проверить логи DLP на предмет утечки по ключу номер карты,Security,DLP,2026-04-20T20:50:48.062256,требоваться проверить лог dlp предмет утечка ключ номер карта
90,"Не сохраняется проект в AutoCAD, ошибка доступа к диску",BusinessApps,SpecialSoftware,2026-04-20T20:50:48.062294,сохраняться проект autocad ошибка доступ диск
91,Расписание бэкапов сбилось после обновления,Infrastructure,Backup,2026-04-20T20:50:48.062316,расписание бэкап сбиться обновление
92,Не обновляется конфигурация 1С до версии 8.3.22,BusinessApps,1C,2026-04-20T20:50:48.062339,обновляться конфигурация версия
93,Сервер srv-file-7 не отвечает на запросы,Infrastructure,Servers,2026-04-20T20:50:48.062361,сервер srvfile отвечать запрос
94,"Лицензия на PuTTY истекла, требуется пожалуйста продление",BusinessApps,SpecialSoftware,2026-04-20T20:50:48.062388,лицензия putty истечь требоваться пожалуйста продление
95,Дублируются записи в воронке продаж после импорта,BusinessApps,CRM,2026-04-20T20:50:48.062410,дублироваться запись воронка продажа импорт
96,Сессия в Terminal Server обрывается через 5 минут,Workplace,RemoteAccess,2026-04-20T20:50:48.062444,сессия terminal server обрываться минута
97,Ошибка проведения документа в 1С: Access denied,BusinessApps,1C,2026-04-20T20:50:48.062470,ошибка проведение документ access denied
98,Расписание бэкапов сбилось после обновления,Infrastructure,Backup,2026-04-20T20:50:48.062494,расписание бэкап сбиться обновление
99,Медленная работа 1С при открытии справочника Цены,BusinessApps,1C,2026-04-20T20:50:48.062521,медленный работа открытие справочник цена
100,Не работает всё ещё автозапуск программ при старте системы,Workplace,OS,2026-04-20T20:50:48.062565,работать всё ещё автозапуск программа старт система
101,Нужно выдать права локального администратора на PC-DEV-47,Workplace,PCAdmin,2026-04-20T20:50:48.062592,нужно выдать право локальный администратор pcdev
102,Требуется восстановить удалённый файл из бэкапа,Infrastructure,Backup,2026-04-20T20:50:48.062616,требоваться восстановить удалённый файл бэкап
103,"Блокировка записи в базе пожалуйста 1С, пользователь ivanov удерживает",BusinessApps,1C,2026-04-20T20:50:48.062645,блокировка запись база пожалуйста пользователь ivanov удерживать
104,Не выгружается обмен данными с сайтом из 1С,BusinessApps,1C,2026-04-20T20:50:48.062668,выгружаться обмен данные сайт
105,1С зависает при опять формировании отчёта по обороту,BusinessApps,1C,2026-04-20T20:50:48.062709,зависать формирование отчёт оборот
106,Не отображается статус сервиса nginx в дашборде,Infrastructure,Monitoring,2026-04-20T20:50:48.062736,отображаться статус сервис nginx дашборд
107,Не обновляются базы антивируса уже второй дней,Security,Antivirus,2026-04-20T20:50:48.062761,обновляться база антивирус второй день
108,Токен для двухфакторной аутентификации не принимается,Workplace,RemoteAccess,2026-04-20T20:50:48.062784,токен двухфакторный аутентификация приниматься
109,Требуется настроить групповую политику уже для отдела Отдел продаж,Workplace,PCAdmin,2026-04-20T20:50:48.062814,требоваться настроить групповой политика отдел отдел продажа
110,Citrix вылетает при запуске приложения Photoshop,Workplace,RemoteAccess,2026-04-20T20:50:48.062841,citrix вылетать запуск приложение photoshop
111,Не обновляются базы антивируса уже пятый дней,Security,Antivirus,2026-04-20T20:50:48.062866,обновляться база антивирус пятый день
112,"Не могу зайти в CRM, пишет доступ запрещён",BusinessApps,CRM,2026-04-20T20:50:48.062889,мочь зайти crm писать доступ запретить
113,"Мышь не работает, пробовал перетыкать в разные USB",Workplace,Periphery,2026-04-20T20:50:48.062912,мышь работать пробовать перетыкать разный usb
114,"Ошибка аутентификации в корпоративном портале, код LDAP_FAIL",Security,AccessControl,2026-04-20T20:50:48.062939,ошибка аутентификация корпоративный портал код ldapfail
115,Маршрутизатор не раздаёт IP-адреса по DHCP,Infrastructure,Network,2026-04-20T20:50:48.062975,маршрутизатор раздавать ipадрес dhcp
116,Требуется проверить логи DLP на предмет утечки по ключу номер карты,Security,DLP,2026-04-20T20:50:48.063002,требоваться проверить лог dlp предмет утечка ключ номер карта
117,Не отображается история версий документа Договор_71,BusinessApps,DocumentFlow,2026-04-20T20:50:48.063027,отображаться история версия документ договор
118,"Картридж всё ещё в принтере закончился, требуется замена",Workplace,Periphery,2026-04-20T20:50:48.063052,картридж всё ещё принтер закончиться требоваться замена
119,Проблемы с подключением к сети в кабинете Б-148,Infrastructure,Network,2026-04-20T20:50:48.063074,проблема подключение сеть кабинет
120,уже Обнаружена угроза Trojan.Generic на рабочей станции WS-81,Security,Antivirus,2026-04-20T20:50:48.063107,обнаружить угроза trojangeneric рабочий станция
121,"Не удаётся удалить карантинный файл, доступ запрещён",Security,Antivirus,2026-04-20T20:50:48.063130,удаваться удалить карантинный файл доступ запретить
122,"Клавиатура печатает не те уже символы, раскладка сбита",Workplace,Periphery,2026-04-20T20:50:48.063154,клавиатура печатать символ раскладка сбить
123,"Ошибка аутентификации в корпоративном портале, код AUTH_001",Security,AccessControl,2026-04-20T20:50:48.063178,ошибка аутентификация корпоративный портал код auth
124,Падение AutoCAD при обработке файла большого размера,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.063201,падение autocad обработка файл большой размер
125,"Пришло письмо с подозрительной ссылкой, возможно опять фишинг",Security,DLP,2026-04-20T20:50:48.063233,прийти письмо подозрительный ссылка возможно фишинга
126,Не восстанавливается файл из архива за месячной давности,Infrastructure,Backup,2026-04-20T20:50:48.063260,восстанавливаться файл архив месячный давность
127,Система мониторинга не присылает алерты,Infrastructure,Monitoring,2026-04-20T20:50:48.063281,система мониторинг присылать алерот
128,Требуется настроить новое правило DLP для защиты финансовая отчётность,Security,DLP,2026-04-20T20:50:48.063304,требоваться настроить новый правило dlp защита финансовый отчётность
129,Конфликт лицензий при запуске Notepad++,Workplace,PCAdmin,2026-04-20T20:50:48.063342,конфликт лицензия запуск notepad
130,Превышен лимит дискового пространства на /var/log,Infrastructure,Servers,2026-04-20T20:50:48.063368,превысить лимит дисковый пространство varlog
131,Конфликт лицензий при запуске Git,Workplace,PCAdmin,2026-04-20T20:50:48.063393,конфликт лицензия запуск git
132,"Синий экран при запуске, ошибка CRITICAL_PROCESS_DIED",Workplace,OS,2026-04-20T20:50:48.063416,синий экран запуск ошибка criticalprocessdied
133,Требуется настроить групповую политику для отдела Разработка,Workplace,PCAdmin,2026-04-20T20:50:48.063441,требоваться настроить групповой политика отдел разработка
134,Веб-камера показывает чёрный экран в конференциях,Workplace,Periphery,2026-04-20T20:50:48.063460,вебкамера показывать чёрный экран конференция
135,"Не работает вход по смарт-карте, ошибка считывания срочно",Security,AccessControl,2026-04-20T20:50:48.063486,работать вход смарткарта ошибка считывание срочно
136,Обнаружена угроза AdWare.BrowserModifier на рабочей станции WS-125,Security,Antivirus,2026-04-20T20:50:48.063510,обнаружить угроза adwarebrowsermodifier рабочий станция
137,"Картридж в принтере закончился, требуется замена",Workplace,Periphery,2026-04-20T20:50:48.063527,картридж принтер закончиться требоваться замена
138,Нужно добавить пользователя пожалуйста в локальную группу Remote Desktop Users,Workplace,PCAdmin,2026-04-20T20:50:48.063550,нужно добавить пользователь пожалуйста локальный группа remote desktop users
139,"Пользователь уволен, нужно отозвать всё ещё все доступы",Security,AccessControl,2026-04-20T20:50:48.063570,пользователь уволить нужно отозвать всё ещё доступ
140,Не работает поиск по реквизитам в системе пожалуйста документооборота,BusinessApps,DocumentFlow,2026-04-20T20:50:48.063590,работать поиск реквизит система пожалуйста документооборот
141,Оповещения в Telegram не приходят от бота мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.063607,оповещение telegram приходить бот мониторинг
142,Windows не загружается после обновления,Workplace,OS,2026-04-20T20:50:48.063624,windows загружаться обновление
143,Ошибка в логах Event Log: Access denied,Infrastructure,Servers,2026-04-20T20:50:48.063643,ошибка лог event log access denied
144,Ошибка сертификата при подключении к VPN-шлюзу,Workplace,RemoteAccess,2026-04-20T20:50:48.063660,ошибка сертификат подключение vpnшлюз
145,Веб-камера показывает чёрный экран в конференциях,Workplace,Periphery,2026-04-20T20:50:48.063681,вебкамера показывать чёрный экран конференция
146,"Обрыв кабеля в серверной, нет связи с офис СПб",Infrastructure,Network,2026-04-20T20:50:48.063711,обрыв кабель серверный связь офис спб
147,Срабатывание правила DLP при отправке отчёта контрагенту помогите,Security,DLP,2026-04-20T20:50:48.063739,срабатывание правило dlp отправка отчёт контрагент помочь
148,Превышен лимит дискового пространства на /data,Infrastructure,Servers,2026-04-20T20:50:48.063762,превысить лимит дисковый пространство data
149,Пользователь пытается обойти DLP через архив с паролем,Security,DLP,2026-04-20T20:50:48.063783,пользователь пытаться обойти dlp архив пароль
150,Windows не загружается после обновления,Workplace,OS,2026-04-20T20:50:48.063804,windows загружаться обновление
151,"Не работает интеграция CRM с телефонией, звонки не логируются",BusinessApps,CRM,2026-04-20T20:50:48.063828,работать интеграция crm телефония звонок логироваться
152,"срочно Лицензия на Adobe Reader истекла, требуется продление",BusinessApps,SpecialSoftware,2026-04-20T20:50:48.063858,срочно лицензия adobe reader истечь требоваться продление
153,Учётная запись заблокирована после 10 неудачных попыток,Security,AccessControl,2026-04-20T20:50:48.063883,учётный запись заблокировать неудачный попытка
154,Поле Бюджет не отображается всё ещё в форме создания сделки,BusinessApps,CRM,2026-04-20T20:50:48.063917,поле бюджет отображаться всё ещё форма создание сделка
155,"Компьютер не входит в домен, ошибка {err_msg}",Workplace,PCAdmin,2026-04-20T20:50:48.063944,компьютер входить домен ошибка errmsg
156,1С зависает при формировании отчёта по остаткам,BusinessApps,1C,2026-04-20T20:50:48.063986,зависать формирование отчёт остаток
157,помогите Пропадает звук после выхода из спящего режима,Workplace,OS,2026-04-20T20:50:48.064012,помочь пропадать звук выход спать режим
158,Оповещения в Telegram не приходят от бота мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.064035,оповещение telegram приходить бот мониторинг
159,Не выгружается обмен данными с сайтом из 1С,BusinessApps,1C,2026-04-20T20:50:48.064063,выгружаться обмен данные сайт
160,Веб-камера показывает чёрный экран в конференциях,Workplace,Periphery,2026-04-20T20:50:48.064088,вебкамера показывать чёрный экран конференция
161,"Лицензия на PuTTY истекла, пожалуйста требуется продление",BusinessApps,SpecialSoftware,2026-04-20T20:50:48.064117,лицензия putty истечь пожалуйста требоваться продление
162,Не хватает места в хранилище резервных копий,Infrastructure,Backup,2026-04-20T20:50:48.064140,хватать место хранилище резервный копия
163,Не работает резервное копирование баз данных уже второй день уже,Infrastructure,Backup,2026-04-20T20:50:48.064176,работать резервный копирование база данные второй день
164,Не применяется политика паролей после изменения,Workplace,PCAdmin,2026-04-20T20:50:48.064200,применяться политика пароль изменение
165,"Не обновляется система, ошибка кода 619",Workplace,OS,2026-04-20T20:50:48.064225,обновляться система ошибка код
166,Обнаружена угроза PUP.Optional на рабочей станции WS-47,Security,Antivirus,2026-04-20T20:50:48.064250,обнаружить угроза pupoptional рабочий станция
167,Не отображаются сетевые диски в Проводнике,Workplace,OS,2026-04-20T20:50:48.064277,отображаться сетевой диск проводник
168,"VPN не подключается к офису, пишет ошибку 691",Infrastructure,Network,2026-04-20T20:50:48.064304,vpn подключаться офис писать ошибка
169,Обнаружена угроза PUP.Optional на рабочей станции WS-125,Security,Antivirus,2026-04-20T20:50:48.064332,обнаружить угроза pupoptional рабочий станция
170,"VPN не подключается помогите к офису, пишет ошибку 691",Infrastructure,Network,2026-04-20T20:50:48.064363,vpn подключаться помочь офис писать ошибка
171,Ложное срабатывание мониторинга на CPU помогите,Infrastructure,Monitoring,2026-04-20T20:50:48.064391,ложный срабатывание мониторинг cpu помочь
172,Пропадает срочно звук после выхода из спящего режима,Workplace,OS,2026-04-20T20:50:48.064416,пропадать срочно звук выход спать режим
173,"Антивирус грузит процессор на 80%, тормозит работу",Security,Antivirus,2026-04-20T20:50:48.064441,антивирус грузить процессор тормозить работа
174,"Обрыв кабеля в серверной, нет связи с офис СПб",Infrastructure,Network,2026-04-20T20:50:48.064468,обрыв кабель серверный связь офис спб
175,"Не работает интеграция CRM с телефонией, звонки не логируются",BusinessApps,CRM,2026-04-20T20:50:48.064493,работать интеграция crm телефония звонок логироваться
176,Требуется восстановить удалённый файл из бэкапа,Infrastructure,Backup,2026-04-20T20:50:48.064516,требоваться восстановить удалённый файл бэкап
177,Зависает проводник при открытии папки Рабочий стол,Workplace,OS,2026-04-20T20:50:48.064543,зависать проводник открытие папка рабочий стол
178,Падение Photoshop при обработке файла большого размера,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.064568,падение photoshop обработка файл большой размер
179,Требуется добавить новый хост в систему мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.064590,требоваться добавить новый хост система мониторинг
180,Требуется удалить старое ПО перед установкой нового,Workplace,PCAdmin,2026-04-20T20:50:48.064620,требоваться удалить старое установка новый
181,Проблемы с подключением к сети в кабинете В-347,Infrastructure,Network,2026-04-20T20:50:48.064648,проблема подключение сеть кабинет
182,Не работает автозапуск программ при старте системы,Workplace,OS,2026-04-20T20:50:48.064672,работать автозапуск программа старт система
183,Ошибка проведения документа в 1С: Timeout expired,BusinessApps,1C,2026-04-20T20:50:48.064698,ошибка проведение документ timeout expired
184,"Лицензия на Git истекла, опять требуется продление",BusinessApps,SpecialSoftware,2026-04-20T20:50:48.064731,лицензия git истечь требоваться продление
185,"Не пингуется сервер 10.0.181.244, вся сеть легла",Infrastructure,Network,2026-04-20T20:50:48.064756,пинговаться сервер весь сеть лечь
186,"Картридж в принтере закончился, требуется замена",Workplace,Periphery,2026-04-20T20:50:48.064777,картридж принтер закончиться требоваться замена
187,Требуется добавить новый хост в систему мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.064802,требоваться добавить новый хост система мониторинг
188,Ошибка сертификата при подключении к VPN-шлюзу,Workplace,RemoteAccess,2026-04-20T20:50:48.064846,ошибка сертификат подключение vpnшлюз
189,пожалуйста Обнаружена угроза PUP.Optional на рабочей станции WS-34,Security,Antivirus,2026-04-20T20:50:48.064884,пожалуйста обнаружить угроза pupoptional рабочий станция
190,Полное сканирование зависло на файле отчёт_финансы.xlsx,Security,Antivirus,2026-04-20T20:50:48.064912,полный сканирование зависнуть файл отчётфинансыxlsx
191,Требуется удалить старое ПО перед установкой нового,Workplace,PCAdmin,2026-04-20T20:50:48.064938,требоваться удалить старое установка новый
192,Зависает проводник при помогите открытии папки Документы,Workplace,OS,2026-04-20T20:50:48.064995,зависать проводник помочь открытие папка документ
193,Не применяется политика блокировки экрана через 15 мин,Security,AccessControl,2026-04-20T20:50:48.065038,применяться политика блокировка экран мина
194,"пожалуйста Монитор не включается, индикатор не горит",Workplace,Periphery,2026-04-20T20:50:48.065078,пожалуйста монитор включаться индикатор гореть
195,Не пожалуйста могу подключиться к корпоративному порталу из дома,Workplace,RemoteAccess,2026-04-20T20:50:48.065104,пожалуйста мочь подключиться корпоративный портал дом
196,Обнаружена угроза AdWare.BrowserModifier на рабочей станции WS-34,Security,Antivirus,2026-04-20T20:50:48.065145,обнаружить угроза adwarebrowsermodifier рабочий станция
